 V  E  Time 
1000 1000 0
1000 2000 0
1000 4000 3193800
1000 8000 2692400
1000 16000 2496500
1000 32000 2195400
1000 64000 2189700
2000 2000 0
2000 4000 99700
2000 8000 11866800
2000 16000 11469300
2000 32000 9770500
2000 64000 9075700
2000 128000 8676800
2000 256000 8281100
4000 4000 99700
4000 8000 199400
4000 16000 44381100
4000 32000 46271700
4000 64000 39494200
4000 128000 38697200
4000 256000 34803800
4000 512000 33809900
4000 1024000 33307600
8000 8000 0
8000 16000 200800
8000 32000 207245400
8000 64000 189991800
8000 128000 159577800
8000 256000 143810500
8000 512000 137429300
8000 1024000 133547600
8000 2048000 133339000
8000 4096000 131544200
16000 16000 99600
16000 32000 1097100
16000 64000 832871100
16000 128000 753980000
16000 256000 637195700
16000 512000 572768000
16000 1024000 544443300
16000 2048000 529483700
16000 4096000 531275900
16000 8192000 520607300
16000 16384000 522003800
